ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Reasoning,Remarks,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Satire vs Non-satire,Reviewer,Review
58-14,28/03/2023 07:12:25,https://twitter.com/adimaculangan/status/799639497835036673,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,bayaran para magrally since:2016-01-01 until:2021-12-31,@adimaculangan,Alvin Dimaculangan,,Identified,08/2010,17,7,"San Pablo City, Laguna",@Jimparedes o ano asan na rally nyo ? Hakot pa kayo ng bayaran para magrally ha ha ha laos kana,The claim that rallies are formed by looking for civilians to pay for their participation has no basis.,"Missing data:
Location
",-,"Text, Reply",18/11/2016 23:44,,Emotional,0,0,1,0,,,Non-Satire,,
58-15,28/03/2023 07:23:21,https://twitter.com/RonaldF81584775/status/1448953708876865545,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,rally komunista npa since:2016-01-01 until:2021-12-31,@RonaldF81584775,"
BBM/Sarah ✌️✌️👊👊❤️💚🇵🇭",Honest and I hate the liar,Anonymous,09/2020,712,320,,@Ms_Trizzia_ Paano wala alam kundi mag rally at lasunin ng mga komunista NPA ang mga kabataan.,"The claim that people who participate in rallies are linked to communists or the insurgent group NPA has no basis

https://verafiles.org/articles/vera-files-fact-check-pa-ulit-ulit-badoy-gumawa-ng-pahayag-na-walang-basehan-tungkol-kay-robredo-koneksyon-ng-mga-partylist-sa-cpp-npa-ndf","Missing data:
Location
",-,"Text, Reply",15/10/2021 17:07,,Emotional,0,0,0,0,,,Non-Satire,,
58-16,28/03/2023 07:23:21,https://twitter.com/msuniversemimi/status/1439590204201787395,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,rally komunista npa since:2016-01-01 until:2021-12-31,@msuniversemimi,Ateh Mimi,Architect (INTJ-T) https://t.co/ixiQcLH8uC Market Analyst of the Millennium Historian Symbologist Lambily Volleyball player Pageant Fan #OursDU30 #Uniteam,Anonymous,04/2012,385,202,"Brgy. Santolan, Pasig City, PH","@dzbb @jhomer_apresto Sana naman po un mga mka Anti DU30, mga rallyistang komunista at mga pakawalang NPA supporters ng mga Delawan na rally ng rally sana mkisama nman kayo sa pandemya. Global po yan at hndi imbento lang. Tapos pagngkasakit iyak iyak tawagin nyo si tatay Mister Presidents 😒😒😒","The claim that people who go to rallies are communists has no basis

https://verafiles.org/articles/vera-files-fact-check-pa-ulit-ulit-badoy-gumawa-ng-pahayag-na-walang-basehan-tungkol-kay-robredo-koneksyon-ng-mga-partylist-sa-cpp-npa-ndf",,-,"Text, Reply",19/09/2021 21:00,,Emotional,0,0,0,0,,,Non-Satire,,
58-17,28/03/2023 07:23:21,https://twitter.com/JaredXenos/status/1423097934313267201,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,rally komunista npa since:2016-01-01 until:2021-12-31,@JaredXenos,jared zane xenos,"Engineer, consultant, builder, world traveler, photographer, artist, patriot",Identified,02/2013,250,181,,@Zuriel0517 @LakasNgTimog Tatak ng isang professional na rallyista yan. Sa ka attend ng mga rally ayan nagmukhang unggoy. Diyan siya kumikita sa mga rally sa bayad ng mga financiers na komunista galing sa NPA extortion ng mga kumpanya,The claim that activists who go to rallies are paid and funded by NPA no basis,"Reply to an online image protest done by a member of Anakbayan

Missing data:
Location",-,"Text, Reply",05/08/2021 08:46,,Emotional,1,0,0,0,,,Non-Satire,,
58-18,28/03/2023 07:23:21,https://twitter.com/MhaeMha04518743/status/1395252959773085703,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,rally komunista npa since:2016-01-01 until:2021-12-31,@MhaeMha04518743,: ✨𝑀𝒾 𝒦𝒶 ✨:,"Anti-Terrorist, Anti-Communist Anti-Corrupt, Anti-Hippocrisy basta anti sa lahat ng kasamaan.
 
 
👉Love, Peace, Hope👊🙏",Anonymous,03/2021,67,66,,"CTTO:
 Ugaling Komunista, Rally duon, Strike dito, sigaw GUTOM SILA AT AYUDA. may oras magsigaw sa kalye pero walang oras maghanap buhay. CPP NPA NDF, Mga Salot sa Lipunan. Huwag po silang suportahan 👎👎👎 https://t.co/2cq9Jmykof","The claim that activists are unemployed or are not putting effort into earning a living is false. One example is that a profile of people who participate in rallies are members of labor and worker groups calling for reforms in the labor code.

Attached image contains a statement and a PNP logo, but the image cannot be traced back to Philippine National Police. Therefore the image is fake and misleading.

https://www.cnnphilippines.com/news/2022/11/30/labor-group-protest-bonifacio-day.html","Missing data:
Location
",-,"Text, Image",20/05/2021 12:40,,Emotional,4,1,0,0,,,Non-Satire,,
58-19,28/03/2023 07:23:21,https://twitter.com/JohnDel91669838/status/1385202051047575557,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,rally komunista npa since:2016-01-01 until:2021-12-31,@JohnDel91669838,John Dela Cruz,,Anonymous,04/2021,18,0,,"@News5PH Naghahakot ang komunista ng makakasama sa kanilang rally o protesta sa May 1. 
 500 bayad sa bawat sasama sa kanila na galing sa kinotong ng NPA Terrorist...
 Nyahahaha....",The claim that NPA was collecting participants for the 2021 Labor Day rally and paying 500 pesos per head has no basis,"Missing data:
Account Bio
Location",-,"Text, Reply",22/04/2021 19:01,,Emotional,0,1,0,0,,,Non-Satire,,
58-20,28/03/2023 07:23:21,https://twitter.com/AncaySeigfred/status/1358932184095072257,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,rally komunista npa since:2016-01-01 until:2021-12-31,@AncaySeigfred,Seigfred Ancay,I've always found Electro- pop lovable and mellow (always) a pleasure to fell back on anti climatic indie rock,Identified,08/2020,359,56,,@the13thfool Dilawan o komunista NPA mga iyan. Rally now! Abo later---DDS solid😅--- pimp ass,The claim that activists are supporters of the Aquinos or members of the NPA has no basis.,"Missing data:
Location",-,"Text, Reply",09/02/2021 08:14,,Emotional,0,0,0,0,,,Non-Satire,,
58-21,28/03/2023 07:23:21,https://twitter.com/MamTessCD/status/1337252685020459008,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,rally komunista npa since:2016-01-01 until:2021-12-31,@MamTessCD,Teresita Curato-Dapoc,,Identified,12/2017,1800,1082,Republic of the Philippines,"@missM_028 Rally na agad agad, CHR, Hontiveros, Kiko, Drilon, MAKABAYAN BLOC, God Father Joma Sison, talagang dapat na kayong UBUSIN dito sa PH, o yung mga bagong rekrut ng NPA, NDF, CPP, susunod na kayp kung di kayo titino at kakalas sa mga komunista, teroristang grupo ngNagkakalatNgLagim",The claim that activists and the mentioned names in the tweet are enumerated nex to communists and members of NPA/NDF/CPP is misleading,"Missing data:
Account Bio",-,"Text, Reply",11/12/2020 12:27,,Emotional,0,0,0,0,,,Non-Satire,,
58-22,28/03/2023 07:23:21,https://twitter.com/Risa77185950/status/1337041835664019462,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,rally komunista npa since:2016-01-01 until:2021-12-31,@Risa77185950,Risa,Buot pero pikon,Anonymous,04/2019,139,51,,"@anakbayankeson Hahahahah..mamatay tao?e anong tawag nio sa mga KOMUNISTA, AKTIBISTA AT NPA? Heler! Daming na tuwa ngayon sa ginawa ng administrasyon, at maraming galit na mga kasapi ng NPA esp.the legal fronts kc unti-unti na silang humihina..magkano nmn kaya ang bayad sa rally na yan?🤔🤔🤔🤔",The claims that activists are linked to NPA and communists and attendees of rallies are paid have no basis,"Reply to a tweet by Anakbayan Quezon containing a picture of a protest against Rodrigo Duterte

Missing data:
Location",-,"Text, Reply",10/12/2020 22:29,,Emotional,0,0,0,0,,,Non-Satire,,
58-23,28/03/2023 07:23:21,https://twitter.com/Abuka1023/status/1336282920877604864,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,rally komunista npa since:2016-01-01 until:2021-12-31,@Abuka1023,Mark Garcia,,Anonymous,06/2014,37,23,,"@gmanews @ArleneBrosas @GabrielaWomenPL rally lang kanina sa Maynila, pinapakita pa nila ang bandila ng CPP-NPA-NDF, hindi na mahihirapan na i-red tag kayo ni @ParladeJr, bakit hindi nyo aminin na komunista kayo at iniidolo nyo si Mao Zedong ng China, hahaha! https://t.co/DCWpVnlBac","The claim that Gabriela Women's Party is linked to a communist group is false. Rather it is a progressive sectoral political organization that ""holds a seat at the House of Representatives ... representing the women’s sector""

Photo attached by the user is also misleading, since this has no relation with Gabriela PL. Instead, it was taken from a separate post showing a protest of Kabataang Makabayan.

https://www.altermidya.net/gabriela-womens-party-recruits-for-cpp-npa-ndf-pna-claims/

https://twitter.com/CEGPhils/status/1336197854126288896","Missing data:
Account Bio
Location
",-,"Text, Image, Reply",08/12/2020 20:14,,Emotional,0,2,0,0,,,Non-Satire,,
58-24,28/03/2023 07:23:21,https://twitter.com/MamTessCD/status/1330487071924883456,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,rally komunista npa since:2016-01-01 until:2021-12-31,@MamTessCD,Teresita Curato-Dapoc,,Identified,12/2017,1800,1082,Republic of the Philippines,"@benign0 Edi wow, kumita ng husto ang mga oligarkong pari, biro mo nagbayad na mga magulang in advance tapos makikita nilang kasamang nagra rally mga anak kasama mga komunista hehe, goodbye diplomas, hello NPAs, bahala na kung mabalitaang namatay sa encounter sa govt troops as NPA warrior",The claim that civilians attend rallies with communists and join encounters has no basis. Rallies can be staged by different groups for different purposes,"This is a reply to a satiric quote tweet, negatively commenting on a tweet about Ateneo's call for academic strike in November 2020

Missing data:
Account Bio",-,Text,22/11/2020 20:23,,Emotional,1,0,0,0,,,Non-Satire,,
58-25,28/03/2023 07:23:21,https://twitter.com/faithfulness44/status/1329720989773684736,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,rally komunista npa since:2016-01-01 until:2021-12-31,@faithfulness44,faithfulness88,,Anonymous,11/2015,67,12,,sigi mga parents tapatan natin ang mga rally ng mga komunista na yan para ang mga anak natin na nag aaral dyan ma aware sila na ang mga nag recruit sa kanila gagawin silang NPA communista someday!,The claim that students who join rallies in specific universities are recruited by communist groups has no basis,"Missing data:
Account Bio
Location",-,Text,20/11/2020 17:39,,Emotional,0,0,0,0,,,Non-Satire,,
58-26,28/03/2023 07:23:22,https://twitter.com/MamTessCD/status/1318198140315447296,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,rally komunista npa since:2016-01-01 until:2021-12-31,@MamTessCD,Teresita Curato-Dapoc,,Identified,12/2017,1800,1082,Republic of the Philippines,"@feeedoookz Isali mo laos na talents ng sinarang network, bayarang MSM, miembro ng leftist groups na gaya mo Nabuhay at Mamamatay na kampon ng komunista, teroristang NPA, may budget ka na naman kaya nanghihikayat ng rally, BendisyonanNawaKayoNiCovid19",The claim that activists are funded by communist groups has no basis,"Tweet replied to is now unavilable

Missing data:
Account Bio",-,Text,19/10/2020 21:31,,Emotional,0,0,0,0,,,Non-Satire,,
58-27,28/03/2023 07:23:22,https://twitter.com/racheldjn/status/1285005793524363264,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,rally komunista npa since:2016-01-01 until:2021-12-31,@racheldjn,rachel,I just find myself happy with the simple things.,Anonymous,06/2020,177,106,,@iamgelie @BanatByOfficial Wow no cute post ba kamo @143redangel? Gusto mo ba ung mukhang galit at may hawak na armas. Ung tipong manghihimok ng rally? ung bang style NPA o KOMUNISTA na handang makipag patayan. Iba ka talaga ANGEL bad influence🙃😬😬,"The claim that activists or civilians who participate in rallies are related to NPA, communists, or murderers is misleading and has no basis","Missing data:
Location
",-,"Text, Reply",20/07/2020 07:17,,Emotional,1,0,0,0,,,Non-Satire,,
58-28,28/03/2023 07:23:22,https://twitter.com/kiks_Iam/status/1271562736531472385,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,rally komunista npa since:2016-01-01 until:2021-12-31,@kiks_Iam,Apollonia Corleoni,,Anonymous,03/2010,178,15,,@CatherineMBern2 @Chixpir1 @teddycasino Bigti dai...halatang taga squatter ka...aka NPA -no permanent address.rally lng ang alam🙄BIGTI! Hahaha rally pa..FLOP naman.mga komunista in the making🤮,"The implied claim that people who join rallies are linked to NPA or communists and that activists are ""communists in the making"" has no basis","Missing data:
Account Bio
Location",-,"Text, Reply",13/06/2020 04:59,,Emotional,1,1,0,0,,,Non-Satire,,
58-29,28/03/2023 07:23:22,https://twitter.com/trixygo92/status/1246681855190904833,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,rally komunista npa since:2016-01-01 until:2021-12-31,@trixygo92,TheBitches,ayaw pa brayt braytðŸ™„,Anonymous,03/2014,578,1220,Florida. QC. Davao.,"@teddycasino Karma is real Teddy. Kakaramahin ka din sa pagka ipokeito mo. Dami ng napatay ng mga pinapanigan nyong NPA at komunista leche ka, kaya wag kang ipokrito! Galit kasi di makapag rally, nabawasan ba ang income? 🙄🙄🙄","The claim that people who join rallies receive an income has no basis.

The claim that Teddy Casino is siding with communists is also inaccurate and out of context to the tweet replied to.",,-,"Text,Reply",05/04/2020 13:11,,Emotional,0,0,0,0,,,Non-Satire,,
58-30,28/03/2023 07:23:22,https://twitter.com/redangelx777/status/1246308590849310721,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,rally komunista npa since:2016-01-01 until:2021-12-31,@redangelx777,Red Angel,Yummy Tummy,Anonymous,11/2010,776,40,Republic of the Philippines,@ChelDiokno Iwasan muna kasi ang utak aktibista at utak komunista kahit kelan wala pa napala sa mundo mga yan at kahit kelan dina mananaig ang utak demokrasya nagpahirap ng bayan. Galit na ang taong bayan sa mga rally rally sa kalsada dina uso yon.. lalong galit ang taong bayan sa mga NPA.,"The implied claim that ""utak aktibista"" is related to ""utak komunista"" is misleading.

The claim that activists do not bring any good has no basis. In 2017, activists marched and rallied for free tuition for state universities and colleges, which led to the president signing the Universal Access to Quality Tertiary Education Act.

- https://newsinfo.inquirer.net/896276/student-groups-march-for-free-tuition-for-all
- https://www.philstar.com/headlines/2017/08/04/1725026/free-tuition-law-victory-present-future-generations",,-,"Text, Reply",04/04/2020 12:28,,Emotional,0,0,0,0,,,Non-Satire,,
58-31,28/03/2023 07:23:22,https://twitter.com/markiyaki/status/1237560597123747844,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,rally komunista npa since:2016-01-01 until:2021-12-31,@markiyaki,mark.,"mÃ©re, je suis fatiguÃ©.",Identified,01/2019,149,230,"in your mind, rent free.",@tonyocruz mga salot puro rally!! komunista! NPA!,"The claim that civilians who participate in rallies are communists and members of NPA has no basis.

The claim is also out of context to the tweet replied to.",A reply to Teddy Casino's tweet containing a comparison of Covid Testing Kits made in the US vs made in UP,-,"Text, Reply",11/03/2020 10:06,,Emotional,0,0,0,0,,,Satire,,
58-32,28/03/2023 07:23:22,https://twitter.com/matthewlucas1_2/status/1218364224029609984,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,rally komunista npa since:2016-01-01 until:2021-12-31,@matthewlucas1_2,another Kamov Ka-50 pilot,Zai's,Identified,03/2017,246,57,,"""mga npa at komunista salot sa lipunan""
 ""puro kayo rally, wala naman kayo naitutulong""
 
 say no more, https://t.co/thIfjxrsKO","The claim that activists do not bring any good has no basis. In 2017, activists marched and rallied for free tuition for state universities and colleges, which led to the president signing the Universal Access to Quality Tertiary Education Act.

- https://newsinfo.inquirer.net/896276/student-groups-march-for-free-tuition-for-all
- https://www.philstar.com/headlines/2017/08/04/1725026/free-tuition-law-victory-present-future-generations","Missing data:
Location

Link leads to a page with unavailable content.",-,"Text, Link",18/01/2020 10:47,,Emotional,0,0,0,0,,,Satire,,
58-33,28/03/2023 07:23:22,https://twitter.com/warriorlien/status/1167005085412577280,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,rally komunista npa since:2016-01-01 until:2021-12-31,@warriorlien,warrior_of_K,"A GOD SERVANT,MOTHER WHO DOES GYM AND A NATURE LOVER,, FIGHTER FOR GOOD CAUSE FOR THE NEXT GENERATION,,GOD PROTECT THE PHILIPPINES!",Anonymous,08/2014,819,383,,"Bakit kakaunting media lang ang tumututok ngayong araw sa pagkilos na ginagawa ng mga magulang laban sa NPA at leftist groups? Totoo kaya na may komunista sa hanay ng media?
 Daang-daan na ang nagpunta sa rally. May ulat na ba ang mga malalaking network dito https://t.co/svrV0U1h7P","Photo included in the tweet linking Rep. Sarah Elago to CPP-NPA has no basis.
-
https://www.rappler.com/newsbreak/fact-check/makabayan-lawmakers-communist-guerillas-urban-operatives/","Missing data:
Location
",-,"Text, Image",29/08/2019 16:24,,Rational,26,4,15,1,,,Non-Satire,,
58-34,28/03/2023 07:23:22,https://twitter.com/allain_z/status/1161110067346694145,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,rally komunista npa since:2016-01-01 until:2021-12-31,@allain_z,allain cervantes,chemistry-mathematics-travels-cuisine,Identified,09/2011,1072,747,,"@teddycasino sila nakikibaka para sa demokrasya, kayong miyembro ng CPP NPA NDF nangguguyo para sa komunista. sila masisipag kayong mga NPA mga tamad. Hintay lang sa kita sa rally at rev tax. pag hindi binigyan mamamatay tao at manununog ng hindi niyo ari-arian. masaya ka na ba? hahaha...","The claim that Teddy Casino is a member of CPP NPA NDF has no basis

The claim that activists do not bring any good has no basis. In 2017, activists marched and rallied for free tuition for state universities and colleges, which led to the president signing the Universal Access to Quality Tertiary Education Act.

- https://newsinfo.inquirer.net/896276/student-groups-march-for-free-tuition-for-all
- https://www.philstar.com/headlines/2017/08/04/1725026/free-tuition-law-victory-present-future-generations","Missing data:
Location
",-,"Text, Reply",13/08/2019 09:59,,Emotional,4,0,0,0,,,Non-Satire,,
